2020-02-28 12:10:49,b'RT @AsylumShelterUS: #WuhanCoronovirus #wuhanpnemonia \n#Hubei #\xe6\xad\xa6\xe6\xb1\x89\xe5\xb0\x81\xe5\x9f\x8e #\xe6\xad\xa6\xe6\xb1\x89\xe7\x97\x85\xe6\xaf\x92 \xf0\x9f\xa6\xa0#\xe6\xad\xa6\xe6\xb1\x89\xe6\x96\xb0\xe5\x9e\x8b\xe5\x86\xa0\xe7\x8a\xb6\xe7\x97\x85\xe6\xaf\x92 \nbloody! cruel! A man  working in #Wuhan returned to t\xe2\x80\xa6'
2020-02-28 11:42:54,"b""RT @Louie_Korest: \xe5\xaa\xbd\xe5\x91\x80\xe9\x80\x99\xe5\x9c\x96\xe5\x88\xb0\xe5\xba\x95\xe9\x82\x84\xe5\x8f\xaf\xe4\xbb\xa5\xe6\x94\xb9\xe5\xa4\x9a\xe5\xb0\x91\xe6\xac\xa1\xe3\x80\x82\n--\nIran is coming.\nSeriously, don't increase people in the room anymore.\n\n*I modify the sentence on the bo\xe2\x80\xa6"""
2020-02-28 11:28:37,b'RT @kiloloyc: A poll on weibo with a topic saying \xe2\x80\x9cwe chinese doesnt owe anything to the world\xe2\x80\x9d. From the poll over 90% thinks the #WuhanCo\xe2\x80\xa6'
2020-02-28 11:27:36,b'RT @fitrianizar_AH: All you need to know about\n#coronavirus Stay safe guys!!!\n\n#WuhanCoronovirus\n#coronarovirus https://t.co/doph0CJMJg'
2020-02-28 11:20:03,b'@SCMPNews SCMP first up with #WuhanCoronovirus news from everywhere but China. Imagine my shock'
2020-02-28 11:19:37,"b'RT @MehndirattaAnil: Till now it was widely said dat if #USA sneezes then d whol world gets a cold,but now #china has a cold n d whole worl\xe2\x80\xa6'"
2020-02-28 11:19:21,b'RT @chidambara09: #Teacher trapped in #Wuhan reveals BOTH her parents have died https://t.co/HXh14OtXTW \n\n#bigdata \n#Twitter #socialmedia\xe2\x80\xa6'
2020-02-28 11:19:10,b'RT @chidambara09: #Teacher trapped in #Wuhan reveals BOTH her parents have died https://t.co/HXh14OtXTW \n\n#bigdata \n#Twitter #socialmedia\xe2\x80\xa6'
2020-02-28 10:32:19,b'RT @chidambara09: #Teacher trapped in #Wuhan reveals BOTH her parents have died https://t.co/HXh14OtXTW \n\n#bigdata \n#Twitter #socialmedia\xe2\x80\xa6'
2020-02-28 10:32:12,b'RT @chidambara09: #Teacher trapped in #Wuhan reveals BOTH her parents have died https://t.co/HXh14OtXTW \n\n#bigdata \n#Twitter #socialmedia\xe2\x80\xa6'
